123903799	27
123903807	250
123903815	65
123903823	211
123903831	24
123903839	93
123903847	204
123903855	140
123903863	155
123903871	15
123903879	237
123903887	159
123903895	197
123903903	73
123903911	172
123903919	45
123903927	121
123903935	150
123903943	193
123903951	231
123903959	32
123903967	161
123903975	49
123903983	63
123903991	127
123903999	229
123904007	189
123904015	121
123904023	37
123904031	104
123904039	228
123904047	140
123904055	15
123904063	100
123904071	237
123904079	179
123904087	183
123904095	31
123904103	113
123904111	161
123904119	111
123904127	131
123904135	206
123904143	58
123904151	53
123904159	183
123904167	198
123904175	26
123904183	112
123904191	215
123904199	108
123904207	61
123904215	67
123904223	154
123904231	247
123904239	36
123904247	127
123904255	198
123904263	138
123904271	99
123904279	104
123904287	57
123904295	151
123904303	162
123904311	188
123904319	193
123904327	243
123904335	218
123904343	125
123904351	105
123904359	89
123904367	89
123904375	163
123904383	224
123904391	176
123904399	209
123904407	55
123904415	130
123904423	13
123904431	237
123904439	228
123904447	108
123904455	36
123904463	180
123904471	79
123904479	216
123904487	136
123904495	118
123904503	18
123904511	233
123904519	57
123904527	174
123904535	134
123904543	138
123904551	54
123904559	238
123904567	189
123904575	19
123904583	128
123904591	248
123904599	131
123904607	128
123904615	236
123904623	149
123904631	92
123904639	160
123904647	154
123904655	56
123904663	176
123904671	188
123904679	28
123904687	231
123904695	71
123904703	212
123904711	0
123904719	190
123904727	15
123904735	134
123904743	145
123904751	122
123904759	200
123904767	128
123904775	196
123904783	69
123904791	228
123904799	206
123904807	161
123904815	194
123904823	37
123904831	41
123904839	234
123904847	126
123904855	140
123904863	135
123904871	136
123904879	158
123904887	222
123904895	86
123904903	248
123904911	51
123904919	26
123904927	185
123904935	7
123904943	79
123904951	43
123904959	3
123904967	8
123904975	25
123904983	156
123904991	114
123904999	121
123905007	27
123905015	246
123905023	110
123905031	3
123905039	249
123905047	216
123905055	213
123905063	167
123905071	246
123905079	180
123905087	33
123905095	221
123905103	148
123905111	181
123905119	71
123905127	40
123905135	20
123905143	114
123905151	161
123905159	134
123905167	232
123905175	13
123905183	61
123905191	73
123905199	221
123905207	177
123905215	46
123905223	25
123905231	4
123905239	113
123905247	124
123905255	86
123905263	2
123905271	9
123905279	249
123905287	106
123905295	36
123905303	85
123905311	78
123905319	99
123905327	89
123905335	64
123905343	160
123905351	187
123905359	54
123905367	172
123905375	5
123905383	116
123905391	222
123905399	142
123905407	195
123905415	240
123905423	151
123905431	171
123905439	208
123905447	96
123905455	230
123905463	255
123905471	255
123905479	8
123905487	34
123905495	74
123905503	139
123905511	14
123905519	207
123905527	234
123905535	146
123905543	24
123905551	223
123905559	204
123905567	68
123905575	230
123905583	198
123905591	138
123905599	225
123905607	139
123905615	99
123905623	185
123905631	238
123905639	254
123905647	65
123905655	204
123905663	226
123905671	82
123905679	216
123905687	158
123905695	37
123905703	3
123905711	95
123905719	184
123905727	167
123905735	169
123905743	75
123905751	98
123905759	150
123905767	107
123905775	225
123905783	221
123905791	94
123905799	155
123905807	245
123905815	72
123905823	109
123905831	60
123905839	151
123905847	76
123905855	237
123905863	191
123905871	103
123905879	252
123905887	205
123905895	30
123905903	28
123905911	172
123905919	61
123905927	140
123905935	190
123905943	107
123905951	144
123905959	238
123905967	126
123905975	255
123905983	65
123905991	139
123905999	90
123906007	30
123906015	205
123906023	217
123906031	52
123906039	34
123906047	71
123906055	167
123906063	102
123906071	192
123906079	6
123906087	95
123906095	209
123906103	125
123906111	115
123906119	163
123906127	115
123906135	223
123906143	175
123906151	192
123906159	15
123906167	8
123906175	120
123906183	80
123906191	161
123906199	90
123906207	111
123906215	31
123906223	161
123906231	27
123906239	95
123906247	121
123906255	124
123906263	14
123906271	96
123906279	230
123906287	243
123906295	184
123906303	19
123906311	227
123906319	147
123906327	46
123906335	9
123906343	93
123906351	232
123906359	3
123906367	47
